taxa,worms_aphia_id,functional_group,phylum,class,order,family,genus,species,revised_taxa,LWRa,LWRb,LWRSource
Chlorophthalmus agassizi,126336,fish,Chordata,Actinopteri,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,Chlorophthalmus agassizi,Chlorophthalmus agassizi,0.00786,2.909,FishBase
Clupea harengus,126417,fish,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Clupea harengus,0.0069,3.04,FishBase
Coelorinchus caelorhincus,398381,fish,Chordata,Actinopteri,Gadiformes,Macrouridae,Coelorinchus,Coelorinchus caelorhincus,Coelorinchus caelorhincus,0.00219,3.106,FishBase
Coryphaenoides rupestris,158960,fish,Chordata,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,Coryphaenoides rupestris,Coryphaenoides rupestris,0.0017,3.16,Modelled_Family
Crystallogobius linearis,126878,fish,Chordata,Actinopteri,Gobiiformes,Gobiidae,Crystallogobius,Crystallogobius linearis,Crystallogobius linearis,0.01,2.94,IMARES
Ctenolabrus rupestris,126964,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Ctenolabrus,Ctenolabrus rupestris,Ctenolabrus rupestris,0.01,3,FishBase
Cymbulia peronii,139494,zooplankton,Mollusca,Gastropoda,Pteropoda,Cymbuliidae,Cymbulia,Cymbulia peronii,Cymbulia peronii,NA,NA,NA
Cyttopsis rosea,127425,fish,Chordata,Actinopteri,Zeiformes,Parazenidae,Cyttopsis,Cyttopsis rosea,Cyttopsis rosea,0.01995,3.01,FB_Baysian_Body shape
Dalatias licha,105910,fish,Chordata,Elasmobranchii,Squaliformes,Dalatiidae,Dalatias,Dalatias licha,Dalatias licha,0.00363,3.12,FB_Baysian_(Sub)family-body shape
Deania calcea,105903,fish,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Deania,Deania calcea,Deania calcea,0.0012,3.26,FishBase
Deania profundorum,105905,fish,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Deania,Deania profundorum,Deania profundorum,0.00161,3.205,FishBase
Diaphus,125819,fish,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,NA,Diaphus,0.007179927,3.0445,Mean_Species
Diplodus vulgaris,127054,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Diplodus,Diplodus vulgaris,Diplodus vulgaris,0.0129,3.11,FishBase
Dipturus,105762,fish,Chordata,Elasmobranchii,Rajiformes,Rajidae,Dipturus,NA,Dipturus,0.002740341,3.24225,Mean_Species
Echiodon drummondii,126663,fish,Chordata,Actinopteri,Ophidiiformes,Carapidae,Echiodon,Echiodon drummondii,Echiodon drummondii,0.01,2.34,MS-S
Entelurus aequoreus,127379,fish,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Entelurus,Entelurus aequoreus,Entelurus aequoreus,8e-4,2.5939,English
Etmopterus spinax,105913,fish,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,Etmopterus spinax,Etmopterus spinax,0.0026,3.15,FishBase
Gadiculus argenteus,126435,fish,Chordata,Actinopteri,Gadiformes,Gadidae,Gadiculus,Gadiculus argenteus,Gadiculus argenteus,0.003829,3.321,FishBase
